Organism	Kingdom	Group	SubGroup	Size(Mb)	GC%	Genes	Proteins
Acidianus hospitalis	Archaea	TACK group	Crenarchaeota	2.13765	0	0	0
Acidilobus	Archaea	TACK group	Crenarchaeota	1.54851	0	0	0
Acidilobus saccharovorans	Archaea	TACK group	Crenarchaeota	1.49645	0	0	0
Acidiplasma	Archaea	Euryarchaeota	Thermoplasmata	1.74736	0	0	0
Acidiplasma aeolicum	Archaea	Euryarchaeota	Thermoplasmata	1.7789	34.4	1856	1698
Acidiplasma cupricumulans	Archaea	Euryarchaeota	Thermoplasmata	1.74753	34.2	1789	1681
Aciduliprofundum	Archaea	Euryarchaeota	unclassified Euryarchaeota	1.43709	0	0	0
Aciduliprofundum boonei	Archaea	Euryarchaeota	unclassified Euryarchaeota	1.48678	0	0	0
Aeropyrum camini	Archaea	TACK group	Crenarchaeota	1.59105	0	0	0
Aeropyrum pernix	Archaea	TACK group	Crenarchaeota	1.6697	0	0	0
Aigarchaeota archaeon JGI 0000001-A7	Archaea	TACK group	Thaumarchaeota	0.412511	54.2	0	0
Aigarchaeota archaeon JGI 0000001-B8	Archaea	TACK group	Thaumarchaeota	0.373687	62.2	0	0
Aigarchaeota archaeon JGI 0000001-H6	Archaea	TACK group	Thaumarchaeota	0.198883	59.4	0	0
Aigarchaeota archaeon JGI 0000106-J15	Archaea	TACK group	Thaumarchaeota	1.08532	37.9	0	0
Aigarchaeota archaeon SCGC AAA471-A16	Archaea	TACK group	Thaumarchaeota	0.62462	60.4	0	0
Aigarchaeota archaeon SCGC AAA471-B22	Archaea	TACK group	Thaumarchaeota	0.267561	61.6	0	0
Aigarchaeota archaeon SCGC AAA471-D15	Archaea	TACK group	Thaumarchaeota	0.667371	61.8	0	0
Aigarchaeota archaeon SCGC AAA471-E14	Archaea	TACK group	Thaumarchaeota	0.703726	54.8	0	0
Aigarchaeota archaeon SCGC AAA471-E16	Archaea	TACK group	Thaumarchaeota	0.525966	61.1	0	0
Aigarchaeota archaeon SCGC AAA471-F17	Archaea	TACK group	Thaumarchaeota	0.741841	62.1	0	0
Aigarchaeota archaeon SCGC AAA471-G05	Archaea	TACK group	Thaumarchaeota	0.640245	61.9	0	0
Aigarchaeota archaeon SCGC AAA471-I13	Archaea	TACK group	Thaumarchaeota	0.164795	61.2	0	0
Aigarchaeota archaeon SCGC AAA471-J07	Archaea	TACK group	Thaumarchaeota	0.249792	61.8	0	0
Aigarchaeota archaeon SCGC AAA471-J08	Archaea	TACK group	Thaumarchaeota	0.252228	61.2	0	0
Archaeal BJ1 virus	Viruses	dsDNA viruses - no RNA stage	Siphoviridae	0.042271	64.9	71	70
Archaeoglobus fulgidus	Archaea	Euryarchaeota	Archaeoglobi	2.1784	48.8	2489	2489
Archaeoglobus profundus	Archaea	Euryarchaeota	Archaeoglobi	1.56342	0	0	0
Archaeoglobus sulfaticallidus	Archaea	Euryarchaeota	Archaeoglobi	2.07693	0	0	0
Archaeoglobus veneficus	Archaea	Euryarchaeota	Archaeoglobi	1.90194	0	0	0
Caldisphaera lagunensis	Archaea	TACK group	Crenarchaeota	1.54685	0	0	0
Caldivirga	Archaea	TACK group	Crenarchaeota	1.5974	0	0	0
Caldivirga maquilingensis	Archaea	TACK group	Crenarchaeota	2.07757	0	0	0
Candidatus Acidianus copahuensis	Archaea	TACK group	Crenarchaeota	2.45402	35.6	2479	2358
Candidatus Aenigmarchaeota archaeon JGI 0000106-F11	Archaea	DPANN group	Candidatus Aenigmarchaeota	0.361035	37.5	0	0
Candidatus Aenigmarchaeota archaeon SCGC AAA011-F07	Archaea	DPANN group	Candidatus Aenigmarchaeota	0.248182	53.5	0	0
Candidatus Aenigmarchaeum subterraneum SCGC AAA011-O16	Archaea	DPANN group	Candidatus Aenigmarchaeota	0.428886	38.6	0	0
Candidatus Bathyarchaeota archaeon BA1	Archaea	unclassified Archaea	Archaea candidate phyla	1.93171	47.1	2414	2403
Candidatus Bathyarchaeota archaeon BA2	Archaea	unclassified Archaea	Archaea candidate phyla	1.45569	44.2	1781	1761
Candidatus Bathyarchaeota archaeon TCS64	Archaea	unclassified Archaea	Archaea candidate phyla	1.55662	0	0	0
Candidatus Caldiarchaeum subterraneum	Archaea	TACK group	Thaumarchaeota	1.68094	51.6	1790	1730
Candidatus Halobonum tyrrellensis G22	Archaea	Euryarchaeota	Halobacteria	3.67509	70.1	3439	3191
Candidatus Haloredivivus sp. G17	Archaea	DPANN group	Candidatus Nanohaloarchaeota	1.1986	42.0	2259	2228
Candidatus Iainarchaeum andersonii SCGC AAA011-E11	Archaea	DPANN group	Candidatus Diapherotrites	1.09804	47.4	0	0
Candidatus Korarchaeum cryptofilum	Archaea	TACK group	Candidatus Korarchaeota	1.59076	0	0	0
Candidatus Methanomassiliicoccus intestinalis	Archaea	Euryarchaeota	Thermoplasmata	1.93165	0	0	0
Candidatus Methanomethylophilus	Archaea	Euryarchaeota	Thermoplasmata	1.72311	0	0	0
Candidatus Methanomethylophilus alvus	Archaea	Euryarchaeota	Thermoplasmata	1.6668	0	0	0
Candidatus Methanoperedens	Archaea	Euryarchaeota	Methanomicrobia	3.73847	0	0	0
Candidatus Methanoperedens nitroreducens	Archaea	Euryarchaeota	Methanomicrobia	3.20339	43.2	3317	3206
Candidatus Methanoplasma termitum	Archaea	Euryarchaeota	Thermoplasmata	1.48867	49.2	1441	1370
Candidatus Nanosalina	Archaea	DPANN group	Candidatus Nanohaloarchaeota	1.22716	0	0	0
Candidatus Nanosalinarum	Archaea	DPANN group	Candidatus Nanohaloarchaeota	1.2158	0	0	0
Candidatus Nitrosoarchaeum koreensis	Archaea	TACK group	Thaumarchaeota	1.6077	0	0	0
Candidatus Nitrosoarchaeum limnia	Archaea	TACK group	Thaumarchaeota	1.85556	0	0	0
Candidatus Nitrosopelagicus brevis	Archaea	TACK group	Thaumarchaeota	1.23213	33.2	1459	1404
Candidatus Nitrosopumilus koreensis	Archaea	TACK group	Thaumarchaeota	1.63996	0	0	0
Candidatus Nitrosopumilus salaria	Archaea	TACK group	Thaumarchaeota	1.57296	0	0	0
Candidatus Nitrosopumilus sp. AR2	Archaea	TACK group	Thaumarchaeota	1.69091	33.6	2008	1935
Candidatus Nitrososphaera evergladensis	Archaea	TACK group	Thaumarchaeota	2.95437	0	0	0
Candidatus Nitrososphaera gargensis	Archaea	TACK group	Thaumarchaeota	2.83387	0	0	0
Candidatus Parvarchaeum acidophilus	Archaea	DPANN group	Candidatus Parvarchaeota	0.100212	0	0	0
Cenarchaeum symbiosum	Archaea	TACK group	Thaumarchaeota	2.04509	0	0	0
Crenarchaeota archaeon SCGC AAA471-B05	Archaea	TACK group	Crenarchaeota	1.4133	28.7	0	0
Crenarchaeota archaeon SCGC AAA471-B23	Archaea	TACK group	Crenarchaeota	1.11069	28.7	0	0
Crenarchaeota archaeon SCGC AAA471-C03	Archaea	TACK group	Crenarchaeota	0.797737	28.7	0	0
Crenarchaeota archaeon SCGC AAA471-L13	Archaea	TACK group	Crenarchaeota	0.833677	28.7	0	0
Crenarchaeota archaeon SCGC AAA471-L14	Archaea	TACK group	Crenarchaeota	0.940474	28.8	0	0
Crenarchaeota archaeon SCGC AAA471-O08	Archaea	TACK group	Crenarchaeota	1.14991	28.7	0	0
Desulfurococcus amylolyticus	Archaea	TACK group	Crenarchaeota	1.3071	0	0	0
Desulfurococcus fermentans	Archaea	TACK group	Crenarchaeota	1.38412	0	0	0
Desulfurococcus kamchatkensis	Archaea	TACK group	Crenarchaeota	1.36522	0	0	0
Desulfurococcus mobilis	Archaea	TACK group	Crenarchaeota	1.19814	0	0	0
Desulfurococcus mucosus	Archaea	TACK group	Crenarchaeota	1.31464	0	0	0
Diapherotrites archaeon SCGC AAA011-K09	Archaea	DPANN group	Candidatus Diapherotrites	0.316537	44.3	0	0
Diapherotrites archaeon SCGC AAA011-N19	Archaea	DPANN group	Candidatus Diapherotrites	0.302064	47.0	0	0
Euryarchaeota archaeon 55_53	Archaea	Euryarchaeota	unclassified Euryarchaeota	1.29365	55.6	1386	1386
Euryarchaeota archaeon SCGC AAA252-I15	Archaea	Euryarchaeota	unclassified Euryarchaeota	1.32568	44.8	0	0
Euryarchaeota archaeon SCGC AAA286-E23	Archaea	Euryarchaeota	unclassified Euryarchaeota	0.512945	26.5	0	0
Ferroglobus placidus	Archaea	Euryarchaeota	Archaeoglobi	2.19627	0	0	0
Ferroplasma	Archaea	Euryarchaeota	Thermoplasmata	2.48765	0	0	0
Ferroplasma acidarmanus	Archaea	Euryarchaeota	Thermoplasmata	1.93521	0	0	0
Fervidicoccus fontis	Archaea	TACK group	Crenarchaeota	1.31921	0	0	0
Geoglobus acetivorans	Archaea	Euryarchaeota	Archaeoglobi	1.86082	46.8	2212	2141
Geoglobus ahangari	Archaea	Euryarchaeota	Archaeoglobi	1.77009	53.1	2050	1978
Hadesarchaea archaeon DG-33	Archaea	Euryarchaeota	Hadesarchaea	0.786381	50.5	950	862
Hadesarchaea archaeon DG-33-1	Archaea	Euryarchaeota	Hadesarchaea	0.928769	51.2	1051	951
Hadesarchaea archaeon YNP_45	Archaea	Euryarchaeota	Hadesarchaea	1.32429	54.7	1456	1364
Hadesarchaea archaeon YNP_N21	Archaea	Euryarchaeota	Hadesarchaea	1.2062	48.7	1304	1238
Haladaptatus cibarius	Archaea	Euryarchaeota	Halobacteria	3.92672	0	0	0
Haladaptatus paucihalophilus	Archaea	Euryarchaeota	Halobacteria	4.31754	0	0	0
Halalkalicoccus jeotgali	Archaea	Euryarchaeota	Halobacteria	3.69865	0	0	0
Halanaeroarchaeum sulfurireducens	Archaea	Euryarchaeota	Halobacteria	2.2535	62.8558	2261	2174
Halapricum salinum	Archaea	Euryarchaeota	Halobacteria	3.45149	63.7	3372	3274
Halarchaeum acidiphilum	Archaea	Euryarchaeota	Halobacteria	2.62897	0	0	0
Haloarcula	Archaea	Euryarchaeota	Halobacteria	4.35926	0	0	0
Haloarcula amylolytica	Archaea	Euryarchaeota	Halobacteria	4.22542	0	0	0
Haloarcula argentinensis	Archaea	Euryarchaeota	Halobacteria	4.14711	0	0	0
Haloarcula californiae	Archaea	Euryarchaeota	Halobacteria	4.40493	0	0	0
Haloarcula hispanica	Archaea	Euryarchaeota	Halobacteria	3.89	0	0	0
Haloarcula japonica	Archaea	Euryarchaeota	Halobacteria	4.28036	0	0	0
Haloarcula marismortui	Archaea	Euryarchaeota	Halobacteria	4.27464	0	0	0
Haloarcula salaria	Archaea	Euryarchaeota	Halobacteria	4.0915	62.1	4015	1796
Haloarcula sinaiiensis	Archaea	Euryarchaeota	Halobacteria	4.40516	0	0	0
Haloarcula vallismortis	Archaea	Euryarchaeota	Halobacteria	3.9232	0	0	0
Halobacteriaceae archaeon SB9	Archaea	Euryarchaeota	Halobacteria	3.92956	62.5	3906	3764
Halobacteriaceae archaeon Tc-Br11_E2g27	Archaea	Euryarchaeota	Halobacteria	2.09588	0	0	0
Halobacterium	Archaea	Euryarchaeota	Halobacteria	3.16256	0	0	0
Halobacterium hubeiense	Archaea	Euryarchaeota	Halobacteria	3.13035	66.576	3189	3102
Halobacterium salinarum	Archaea	Euryarchaeota	Halobacteria	2.66878	0	0	0
Halobellus rufus	Archaea	Euryarchaeota	Halobacteria	3.85222	64.1	3757	3443
Halobiforma lacisalsi	Archaea	Euryarchaeota	Halobacteria	4.33858	0	0	0
Halobiforma nitratireducens	Archaea	Euryarchaeota	Halobacteria	3.68875	0	0	0
Halococcus agarilyticus	Archaea	Euryarchaeota	Halobacteria	3.47673	66.0	3381	3226
Halococcus hamelinensis	Archaea	Euryarchaeota	Halobacteria	3.41907	0	0	0
Halococcus morrhuae	Archaea	Euryarchaeota	Halobacteria	2.99156	0	0	0
Halococcus saccharolyticus	Archaea	Euryarchaeota	Halobacteria	3.4497	0	0	0
Halococcus salifodinae	Archaea	Euryarchaeota	Halobacteria	4.19978	0	0	0
Halococcus sediminicola	Archaea	Euryarchaeota	Halobacteria	3.76437	62.3	3734	3554
Halococcus thailandensis	Archaea	Euryarchaeota	Halobacteria	4.05243	0	0	0
Haloferacaceae archaeon B1-Br10_E2g22	Archaea	Euryarchaeota	Halobacteria	2.36824	0	0	0
Haloferacaceae archaeon PL-Br10_E2g29	Archaea	Euryarchaeota	Halobacteria	1.27824	0	0	0
Haloferacaceae archaeon PL-Br10_E2g46	Archaea	Euryarchaeota	Halobacteria	1.44316	0	0	0
Haloferacaceae archaeon Tc-Br11_E2g18	Archaea	Euryarchaeota	Halobacteria	1.27239	0	0	0
Haloferax	Archaea	Euryarchaeota	Halobacteria	3.83076	0	0	0
Haloferax alexandrinus	Archaea	Euryarchaeota	Halobacteria	3.89363	66.0	3770	3679
Haloferax denitrificans	Archaea	Euryarchaeota	Halobacteria	3.82597	0	0	0
Haloferax elongans	Archaea	Euryarchaeota	Halobacteria	3.95214	0	0	0
