Organism	Kingdom	Group	SubGroup	Size(Mb)	GC%	Genes	Proteins
Carthamus tinctorius	Eukaryota	Plants	Land Plants	661.938	36.5	0	0
Rutstroemia echinophila	Eukaryota	Fungi	Ascomycetes	40.2504	43.1	0	0
Xylaria sp. JS573	Eukaryota	Fungi	Ascomycetes	40.8865	52.6	0	0
Aphanomyces invadans	Eukaryota	Protists	Other Protists	71.4025	52.1	15408	20816
Rhynchosporium secalis	Eukaryota	Fungi	Ascomycetes	49.4113	43.9	13173	13145
Oryza officinalis	Eukaryota	Plants	Land Plants	26.1885	44.7	0	0
Pseudoperonospora cubensis	Eukaryota	Protists	Other Protists	64.3328	54	0	0
Pseudogymnoascus sp. VKM F-4515 (FW-2607)	Eukaryota	Fungi	Ascomycetes	32.0069	50.2	10676	10676
Gossypium hirsutum	Eukaryota	Plants	Land Plants	2189.14	34.9006	78043	90927
Cymbomonas tetramitiformis	Eukaryota	Plants	Green Algae	281.27	52.2	0	0
Holtermanniella nyarrowii	Eukaryota	Fungi	Basidiomycetes	17.7354	52.7	0	0
Ochotona princeps	Eukaryota	Animals	Mammals	3445.78	46.4	0	0
Schistosoma rodhaini	Eukaryota	Animals	Flatworms	343.294	35.1	0	0
Pseudozyma tsukubaensis	Eukaryota	Fungi	Basidiomycetes	23.7697	0	0	0
Strongylocentrotus purpuratus	Eukaryota	Animals	Other Animals	990.915	38.3	31871	35804
Macrocystidia cucumis	Eukaryota	Fungi	Basidiomycetes	46.7469	48.8	0	0
Anopheles funestus	Eukaryota	Animals	Insects	225.224	42.8	0	0
Chinchilla lanigera	Eukaryota	Animals	Mammals	2390.87	41.4	30308	45449
Trichoderma atroviride	Eukaryota	Fungi	Ascomycetes	37.317	48.5	0	0
Trichinella pseudospiralis	Eukaryota	Animals	Roundworms	46.055	32.6	11005	16075
Mycosphaerella eumusae	Eukaryota	Fungi	Ascomycetes	47.1195	47.9	10939	12632
Anolis carolinensis	Eukaryota	Animals	Reptiles	1799.14	40.8238	22092	34827
Drosophila erecta	Eukaryota	Animals	Insects	152.712	42.6	14627	19592
Quercus lobata	Eukaryota	Plants	Land Plants	759.241	33	0	0
Acanthamoeba astronyxis	Eukaryota	Protists	Other Protists	83.4325	42.9	0	0
Pichia kudriavzevii	Eukaryota	Fungi	Ascomycetes	7.2468	0	0	0
Fusarium meridionale	Eukaryota	Fungi	Ascomycetes	36.3998	48.3	0	0
Anopheles koliensis	Eukaryota	Animals	Insects	151.11	45.1	0	0
Thielaviopsis musarum	Eukaryota	Fungi	Ascomycetes	28.4176	49.2	0	0
Raffaelea quercivora	Eukaryota	Fungi	Ascomycetes	25.8629	57.1	0	0
Epichloe gansuensis E7080	Eukaryota	Fungi	Ascomycetes	39.6162	44.4	0	0
Apiotrichum gracile	Eukaryota	Fungi	Basidiomycetes	24.1149	59.2	0	0
Mucor ambiguus	Eukaryota	Fungi	Other Fungi	40.7375	42.4	11651	11343
Apiotrichum brassicae	Eukaryota	Fungi	Basidiomycetes	23.6477	56.5	0	0
Hymenoscyphus infarciens	Eukaryota	Fungi	Ascomycetes	68.1525	37.6	0	0
Hyphochytrium catenoides	Eukaryota	Protists	Other Protists	85.1426	49.5	0	0
Plasmodium yoelii	Eukaryota	Protists	Apicomplexans	22.7559	21.9056	6113	5926
Isoperla grammatica	Eukaryota	Animals	Insects	509.523	40.1	0	0
Xiphophorus hellerii	Eukaryota	Animals	Fishes	733.802	41.2	0	0
Condylura cristata	Eukaryota	Animals	Mammals	1769.66	41.9	20019	29166
Phytophthora agathidicida	Eukaryota	Protists	Other Protists	37.3404	52.6	0	0
Ipomoea trifida	Eukaryota	Plants	Land Plants	512.991	40.1	0	0
Fusarium sambucinum	Eukaryota	Fungi	Ascomycetes	37.7842	47.8	0	0
Pleurotus salmoneostramineus	Eukaryota	Fungi	Basidiomycetes	65.8979	0	0	0
Nannochloropsis oceanica	Eukaryota	Protists	Other Protists	27.6399	53.5	0	0
Heligmosomoides polygyrus	Eukaryota	Animals	Roundworms	560.662	45.3	0	0
Capitella teleta	Eukaryota	Animals	Other Animals	333.283	41.8	31977	31978
Eucalyptus grandis	Eukaryota	Plants	Land Plants	691.43	39.9993	45226	52554
Phytophthora nicotianae	Eukaryota	Protists	Other Protists	71.414	50.2	10521	10521
Lates calcarifer	Eukaryota	Animals	Fishes	668.481	40.8001	30224	45223
Trichinella britovi	Eukaryota	Animals	Roundworms	51.5048	33.8	16058	20907
Globodera rostochiensis	Eukaryota	Animals	Roundworms	95.8763	36.4	0	0
Nipponia nippon	Eukaryota	Animals	Birds	1223.86	42.0001	15343	17089
Apalone spinifera	Eukaryota	Animals	Reptiles	1931.08	42.8	0	0
Hibiscus syriacus	Eukaryota	Plants	Land Plants	1748.25	0	0	0
Pseudogymnoascus destructans	Eukaryota	Fungi	Ascomycetes	35.8182	49.2	9457	9335
Nothobranchius kuhntae	Eukaryota	Animals	Fishes	5.23461	44.8	0	0
Teleopsis dalmanni	Eukaryota	Animals	Insects	469.483	32.2	0	0
Dasypus novemcinctus	Eukaryota	Animals	Mammals	3631.52	41.5	34097	38202
Condylostoma magnum	Eukaryota	Protists	Other Protists	37.603	31.8	0	0
Cladophialophora bantiana	Eukaryota	Fungi	Ascomycetes	37.0879	51.3	0	0
Penicillium chrysogenum	Eukaryota	Fungi	Ascomycetes	32.5255	48.9631	11460	11198
Coccomyxa subellipsoidea C-169	Eukaryota	Plants	Green Algae	48.8266	52.9	9915	9839
Platynothrus peltifer	Eukaryota	Animals	Other Animals	100.533	28.9	0	0
Fusarium virguliforme	Eukaryota	Fungi	Ascomycetes	49.4466	50.6	0	0
Chlamydomonas sphaeroides	Eukaryota	Plants	Green Algae	122.189	65.9	0	0
Starmerella bombicola	Eukaryota	Fungi	Ascomycetes	9.56103	47.6	0	0
Zygosaccharomyces rouxii	Eukaryota	Fungi	Ascomycetes	9.76464	39.1509	5332	4991
Primula veris	Eukaryota	Plants	Land Plants	309.693	35.1	0	0
Stemphylium lycopersici	Eukaryota	Fungi	Ascomycetes	35.1733	50.7	9102	8997
Phytophthora infestans	Eukaryota	Protists	Other Protists	152.115	23.2	0	0
Yarrowia sp. JCM 30695	Eukaryota	Fungi	Ascomycetes	21.9003	47.8	0	0
Onthophagus taurus	Eukaryota	Animals	Insects	270.534	34.9	0	0
Rhizopogon vesiculosus	Eukaryota	Fungi	Basidiomycetes	43.7809	46.3	14191	14197
Nannochloropsis limnetica	Eukaryota	Protists	Other Protists	33.5089	55.4	0	0
Leavenworthia alabamica	Eukaryota	Plants	Land Plants	173.432	35.4	0	0
Rhizoctonia solani	Eukaryota	Fungi	Basidiomycetes	56.0285	48.4	12012	11897
Hanseniaspora guilliermondii	Eukaryota	Fungi	Ascomycetes	9.03785	30.9	4147	4070
Medicago truncatula	Eukaryota	Plants	Land Plants	412.924	34.047	51625	57661
Python bivittatus	Eukaryota	Animals	Reptiles	1435.05	39.7	19862	26040
Ophiothrix spiculata	Eukaryota	Animals	Other Animals	2764.32	35.1	0	0
Amphiamblys sp. WSBS2006	Eukaryota	Fungi	Other Fungi	5.62015	50.2	3695	3642
Ustilago esculenta	Eukaryota	Fungi	Basidiomycetes	20.197	54.4	0	0
Trichinella spiralis	Eukaryota	Animals	Roundworms	50.026	33.7	14737	19244
Leucoagaricus sp. SymC.cos	Eukaryota	Fungi	Basidiomycetes	119.028	44.7	12915	12834
Saccharomyces uvarum	Eukaryota	Fungi	Ascomycetes	11.595	40.1	0	0
Geotrichum candidum	Eukaryota	Fungi	Ascomycetes	24.8361	42.3	7357	6799
Lytechinus variegatus	Eukaryota	Animals	Other Animals	1061.2	36.9	0	0
Corbicula fluminea	Eukaryota	Animals	Other Animals	0.662517	35.3	0	0
Entamoeba histolytica	Eukaryota	Protists	Other Protists	19.9246	24.7	8476	8394
Plasmodium gaboni	Eukaryota	Protists	Apicomplexans	20.3855	18.8583	5373	5354
Anopheles quadriannulatus	Eukaryota	Animals	Insects	283.829	45.9	0	0
Schrenkiella parvula	Eukaryota	Plants	Land Plants	137.073	35.7366	0	0
Gliomastix tumulicola	Eukaryota	Fungi	Ascomycetes	42.3854	54.8	0	0
Hymenoscyphus salicellus	Eukaryota	Fungi	Ascomycetes	57.9527	44.4	0	0
Phoebis sennae	Eukaryota	Animals	Insects	287.49	31.8	0	0
Physcomitrella patens	Eukaryota	Plants	Land Plants	477.948	34.2999	36002	35934
Halyomorpha halys	Eukaryota	Animals	Insects	1150.11	33.0999	16413	24660
Malassezia globosa	Eukaryota	Fungi	Basidiomycetes	8.88425	52.1	0	0
Pseudogymnoascus sp. BL549	Eukaryota	Fungi	Ascomycetes	25.8642	51.1	0	0
Oncopeltus fasciatus	Eukaryota	Animals	Insects	1098.67	37.2	0	0
Chlorella variabilis	Eukaryota	Plants	Green Algae	46.1595	65.5	9780	9780
Trionymus perrisii	Eukaryota	Animals	Insects	237.583	31.5	0	0
Leucosporidium creatinivorum	Eukaryota	Fungi	Basidiomycetes	27.9692	58.7	0	0
Hypothenemus hampei	Eukaryota	Animals	Insects	151.272	33.3	0	0
Elaeis guineensis	Eukaryota	Plants	Land Plants	499.029	32.1	0	0
Drosophila busckii	Eukaryota	Animals	Insects	135.749	39.8655	14368	20692
Salpa thompsoni	Eukaryota	Animals	Other Animals	318.748	34.2	0	0
Babesia divergens	Eukaryota	Protists	Apicomplexans	10.7976	45.3	0	0
Vicia faba	Eukaryota	Plants	Land Plants	80.3627	38.9	0	0
Tribolium castaneum	Eukaryota	Animals	Insects	165.944	35.1887	14405	22611
Gonium pectorale	Eukaryota	Plants	Green Algae	148.806	51	16290	16290
Jatropha curcas	Eukaryota	Plants	Land Plants	297.661	33.8	0	0
Penicillium roqueforti	Eukaryota	Fungi	Ascomycetes	27.1231	48.1	0	0
Stylonychia lemnae	Eukaryota	Protists	Other Protists	50.1645	31.7	20740	20740
Fonticula alba	Eukaryota	Protists	Other Protists	31.2965	64.3	6454	6309
Leishmania arabica	Eukaryota	Protists	Kinetoplasts	31.2691	59.2021	0	0
Crithidia acanthocephali	Eukaryota	Protists	Kinetoplasts	33.7832	56.2	0	0
Sesamum indicum	Eukaryota	Plants	Land Plants	210.758	35.1	0	0
Trametes pubescens	Eukaryota	Fungi	Basidiomycetes	39.7398	57.5	14718	14438
Penstemon centranthifolius	Eukaryota	Plants	Land Plants	4.47159	39.9	0	0
Aspergillus niger	Eukaryota	Fungi	Ascomycetes	35.9835	49.2	0	0
Pseudocohnilembus persalinus	Eukaryota	Protists	Other Protists	55.4554	18.8	13179	13179
Strigomonas galati	Eukaryota	Protists	Kinetoplasts	27.235	49.9	0	0
Theileria annulata	Eukaryota	Protists	Apicomplexans	8.35843	32.6263	5010	4950
Solanum pimpinellifolium	Eukaryota	Plants	Land Plants	688.247	33.8	0	0
Trichosporon inkin	Eukaryota	Fungi	Basidiomycetes	20.3395	62.7	0	0
Wuchereria bancrofti	Eukaryota	Animals	Roundworms	90.3251	29.1	0	0
Helobdella robusta	Eukaryota	Animals	Other Animals	235.376	34.2	23426	23426
Exophiala sideris	Eukaryota	Fungi	Ascomycetes	29.5056	50.7	10237	11120
Lethenteron camtschaticum	Eukaryota	Animals	Fishes	1030.66	48.1	0	0
Manacus vitellinus	Eukaryota	Animals	Birds	1145.85	41.2	14312	15666
Melanochromis auratus	Eukaryota	Animals	Fishes	68.2386	41.5	0	0
Caprimulgus carolinensis	Eukaryota	Animals	Birds	1119.68	40.8	15541	16463
Exophiala xenobiotica	Eukaryota	Fungi	Ascomycetes	31.4058	51.5	12070	13187
Meloidogyne incognita	Eukaryota	Animals	Roundworms	82.095	31.4	0	0
Carica papaya	Eukaryota	Plants	Land Plants	8.07745	36.7	0	0
Chilo suppressalis	Eukaryota	Animals	Insects	314.171	35.7	0	0
Fonsecaea multimorphosa	Eukaryota	Fungi	Ascomycetes	33.3916	52.6	11815	11804
Pygoscelis adeliae	Eukaryota	Animals	Birds	1216.62	41.8001	14407	16927
Solanum arcanum	Eukaryota	Plants	Land Plants	665.187	33.6	0	0
Lagenaria siceraria	Eukaryota	Plants	Land Plants	176.727	32.3	0	0
Aphanomyces astaci	Eukaryota	Protists	Other Protists	75.8444	49.6	19570	26259
Cariama cristata	Eukaryota	Animals	Birds	1132.25	41.2	15124	16125
Spathaspora girioi	Eukaryota	Fungi	Ascomycetes	14.8095	35	0	0
Chromera velia	Eukaryota	Protists	Other Protists	187.455	50	0	0
Plasmodium coatneyi	Eukaryota	Protists	Apicomplexans	27.6855	39.6541	5575	5516
Bactrocera cucurbitae	Eukaryota	Animals	Insects	374.82	37.2996	13662	20754
Mesocricetus auratus	Eukaryota	Animals	Mammals	2504.93	43.2	23936	32567
Rutstroemia sydowiana	Eukaryota	Fungi	Ascomycetes	51.9942	43.1	0	0
Coboldia fuscipes	Eukaryota	Animals	Insects	98.7591	30.1	0	0
Albophoma yamanashiensis	Eukaryota	Fungi	Ascomycetes	31.3906	56.7	0	0
Oryzias latipes	Eukaryota	Animals	Fishes	662.701	41	0	0
Trabutina mannipara	Eukaryota	Animals	Insects	172.236	0	0	0
Heliconius ethilla	Eukaryota	Animals	Insects	267.551	32.5	0	0
Apodemus sylvaticus	Eukaryota	Animals	Mammals	3758.14	22.6	0	0
Leishmania panamensis	Eukaryota	Protists	Kinetoplasts	30.6888	57.3879	8048	7748
Solenopsis invicta	Eukaryota	Animals	Insects	396.025	37.4994	15281	21118
Anopheles culicifacies	Eukaryota	Animals	Insects	202.999	43.1	0	0
Pseudogymnoascus sp. VKM F-3557	Eukaryota	Fungi	Ascomycetes	27.6499	50.2	9482	9482
Betula nana	Eukaryota	Plants	Land Plants	564.011	38.4	0	0
Trebouxia gelatinosa	Eukaryota	Plants	Green Algae	61.7262	50.4	0	0
Cryptosporidium hominis	Eukaryota	Protists	Apicomplexans	9.15609	30.1	0	0
Papio anubis	Eukaryota	Animals	Mammals	2948.4	41.1229	38913	60772
Reticulomyxa filosa	Eukaryota	Protists	Other Protists	101.867	35	39965	39963
Phytophthora fragariae	Eukaryota	Protists	Other Protists	73.6803	52.7	0	0
Peniophora sp. CONT	Eukaryota	Fungi	Basidiomycetes	46.0308	54.2	19182	18945
Sporisorium iseilematis-ciliati	Eukaryota	Fungi	Basidiomycetes	23.2071	0	0	0
Chlamydomonas debaryana	Eukaryota	Plants	Green Algae	120.364	62.3	0	0
Nilaparvata lugens	Eukaryota	Animals	Insects	1140.79	36.1	0	0
Exophiala calicioides	Eukaryota	Fungi	Ascomycetes	36.3667	52.8	0	0
Falciphora oryzae	Eukaryota	Fungi	Ascomycetes	50.7794	56.5	0	0
Lotmaria passim	Eukaryota	Protists	Kinetoplasts	32.813	53.5	0	0
Leptographium lundbergii	Eukaryota	Fungi	Ascomycetes	26.5373	56.9	0	0
Penicillium subrubescens	Eukaryota	Fungi	Ascomycetes	39.8032	49.2	14337	14177
Leptographium procerum	Eukaryota	Fungi	Ascomycetes	28.5565	54.8	0	0
Ascoidea asiatica	Eukaryota	Fungi	Ascomycetes	20.3137	24.8	0	0
Neurospora crassa	Eukaryota	Fungi	Ascomycetes	40.4162	48.9	12368	11968
Pan paniscus	Eukaryota	Animals	Mammals	3286.64	42.3185	29962	47451
Clavispora lusitaniae	Eukaryota	Fungi	Ascomycetes	11.8792	44.5	0	0
Picoides pubescens	Eukaryota	Animals	Birds	1167.32	44.6	14443	15826
Candida versatilis	Eukaryota	Fungi	Ascomycetes	10.0819	40.1	0	0
Verruconis gallopava	Eukaryota	Fungi	Ascomycetes	31.7805	49.1	9870	11357
Glycine max	Eukaryota	Plants	Land Plants	978.972	35.1208	58843	71525
Atkinsonella texensis	Eukaryota	Fungi	Ascomycetes	29.3746	49.7	0	0
Onchocerca volvulus	Eukaryota	Animals	Roundworms	96.3406	29.8	0	0
Gossypium barbadense	Eukaryota	Plants	Land Plants	2566.74	35.8	0	0
Stegastes partitus	Eukaryota	Animals	Fishes	800.492	42.1	24580	31597
Penstemon dissectus	Eukaryota	Plants	Land Plants	2.62809	34.6	0	0
Trichinella nativa	Eukaryota	Animals	Roundworms	47.9332	33.6	13545	17293
Babesia bigemina	Eukaryota	Protists	Apicomplexans	13.8409	50.6137	5075	5079
Saccharomyces pastorianus	Eukaryota	Fungi	Ascomycetes	22.3394	39.1	0	0
Lentinula edodes	Eukaryota	Fungi	Basidiomycetes	41.8187	46.1	0	0
Orpinomyces sp. C1A	Eukaryota	Fungi	Other Fungi	100.954	17	0	0
Glossina brevipalpis	Eukaryota	Animals	Insects	315.36	32.4	0	0
Crocodylus porosus	Eukaryota	Animals	Reptiles	2049.54	41.6	13	13
Nicotiana tabacum	Eukaryota	Plants	Land Plants	3732.64	39	0	0
Octodon degus	Eukaryota	Animals	Mammals	2995.89	42.5	34039	27336
Cavia aperea	Eukaryota	Animals	Mammals	2716.4	42.2	0	0
Drosophila albomicans	Eukaryota	Animals	Insects	149.769	37.9	0	0
Cimex hemipterus	Eukaryota	Animals	Insects	2.66463	35.2	0	0
Ambrosiozyma kashinagacola	Eukaryota	Fungi	Ascomycetes	12.321	36.1	0	0
Thalassiosira oceanica	Eukaryota	Other	Other	92.1856	53.2648	34684	34642
Ananas comosus	Eukaryota	Plants	Land Plants	524.07	37.8	23598	23598
Botryllus schlosseri	Eukaryota	Animals	Other Animals	579.633	40.6	0	0
Ceratotherium simum simum	Eukaryota	Animals	Mammals	2464.37	41.2	25570	33629
Trachymyrmex septentrionalis	Eukaryota	Animals	Insects	291.747	34.7	12000	20394
Parastichopus parvimensis	Eukaryota	Animals	Other Animals	873.088	38.5	0	0
Heliconius ismenius	Eukaryota	Animals	Insects	259.837	32.7	0	0
Pythium insidiosum	Eukaryota	Protists	Other Protists	45.6097	57.2	0	0
Hydra vulgaris	Eukaryota	Animals	Other Animals	852.171	29.0999	22202	21993
Ophiophagus hannah	Eukaryota	Animals	Reptiles	1594.07	40.6	18558	18445
Gorilla gorilla	Eukaryota	Animals	Mammals	3.0229	41	0	0
Lasioglossum albipes	Eukaryota	Animals	Insects	336.521	42.1	0	0
Thelohanellus kitauei	Eukaryota	Animals	Other Animals	150.348	34.5	15020	15020
